nombre,apodo,profesion,categoria
maria jose abud,N/A,economista;politica,politica
americo acuna,N/A,abogado;politico,politica
oscar aguero corvalan,N/A,quimico farmaceutico;diplomatico;empresario;politico,politica
eugenio aguilo,N/A,abogado;politico,politica
manuel aguirre geisse,N/A,abogado;politico,politica
humberto aguirre,N/A,ingeniero agronomo;politico,politica
armando alarcon del canto,N/A,militar;agricultor;politico,politica
lindorfo alarcon hevia,N/A,politico,politica
marcelo albornoz serrano,N/A,abogado;politico,politica
abraham alcaino fernandez,N/A,ingeniero civil;agricultor;politico,politica
luis aldunate echeverria,N/A,abogado;diplomatico;politico,politica
carlos aldunate errazuriz,N/A,politico;funcionario;diplomatico;abogado,politica
fernando aldunate errazuriz,N/A,abogado;politico,politica
roberto aldunate leon,N/A,funcionario;politico,politica
manuel amunategui aldunate,N/A,abogado;politico,politica
alejandro gonzalez poblete,N/A,abogado;politico,politica
raul allard neumann,N/A,abogado;academico;politico,politica
raul allard soto,N/A,abogado;academico;politica,ciencia
sergio altamirano pinto,N/A,medico cirujano;politico,politica
teodoberto alvarez alvarez,N/A,abogado;profesor;politico,politica
ciro alvarez brucher,N/A,ingeniero,ingenieria;tecnologia
sebastian alvarez ramirez,N/A,politico;comunicador social;publicista,politica
pedro alvarez suarez,N/A,ingeniero de minas,ingenieria;tecnologia
alejandro andonaegui acuna,N/A,profesor;politico,politica
alihuen antileo,N/A,abogado;politico,politica
camilo antileo,N/A,musico;comunicador audiovisual;politico,politica
hector arancibia laso,N/A,politico,politica
ernesto araneda rocha,N/A,empleado publico;politico,politica
jorge araos salinas,N/A,marino;politico,politica
fernando patricio araos dattoli,N/A,medico cirujano;politico,politica
alberto araya lampe,N/A,medico cirujano;politico,politica
rodrigo araya morales,N/A,medico familiar;politico,politica
horacio arce fernandez,N/A,militar;diplomatico;politico,politica
santiago arcos,N/A,periodista;politico;escritor,politica
jaime arellano quintana,N/A,abogado;politico,politica
jose miguel aristegui arostegui,N/A,politico;sacerdote catolico;obispo catolico,politica
carlos arriagada hurtado,N/A,ingeniero civil;politico,politica
luis arrieta canas,N/A,politico;escritor,politica
luis arteaga garcia,N/A,funcionario;politico,politica
cesar asenjo,N/A,ingeniero agricola;agronomo;politico,politica
jorge astaburuaga lyon,N/A,politico;corredor de bolsa,politica
mario astorga cartes,N/A,ingeniero agronomo;politico,politica
juan atala gonzalez,N/A,politico,politica
wilfredo bacian,N/A,gestor cultural;politico,politica
osvaldo badenier martinez,N/A,abogado;academico;funcionario;politico,politica
braulio bahamonde montana,N/A,marino;politico,politica
carlos balmaceda saavedra,N/A,ingeniero agronomo;politico,politica
giancarlo baltolu,N/A,administrador publico,N/A
washington bannen mujica,N/A,abogado;politico,politica
fernando baquedano rodriguez,N/A,militar;politico,politica
luis barcelo,N/A,abogado;politico,politica
pascual barraza,N/A,funcionario,N/A
arturo barrera,N/A,ingeniero agronomo;politico,politica
adrian barrientos villalobos,N/A,militar;politico,politica
raul barrios ortiz,N/A,medico cirujano;politico,politica
alejo barrios,N/A,politico,politica
ernesto barros jarpa,N/A,abogado;periodista;politico;diplomatico;escritor;academico,politica
nicolas barros luco,N/A,agricultor;politico,politica
edgardo barrueto reeves,N/A,agricultor;politico,politica
manuel bascunan salas,N/A,abogado,N/A
juan bello dunn,batilo,abogado;dramaturgo;traductor;poeta;escritor;politico,politica
alvaro bellolio,N/A,ingeniero;politico,politica
blas bellolio,N/A,medico cirujano;politico,politica
